customer_id,income,Recency,Monetary
1,40000,999999,0
2,80000,999999,0
3,60000,483,203.17
4,20000,999999,0
5,40000,370,1.08
6,80000,570,147.71
7,40000,999999,0
8,60000,792,259.14
9,20000,848,89.58
10,40000,386,201.07
11,60000,932,44.35
12,40000,1073,16.68
13,40000,999999,0
14,60000,559,68.79
15,100000,999999,0
16,60000,999999,0
17,100000,579,50.17
18,40000,748,26.48
19,80000,553,13.37
20,20000,372,250.72
21,40000,440,132.9
22,40000,999999,0
23,40000,440,76.96
24,40000,872,181.94
25,80000,1051,35.55
26,20000,658,103.98
27,40000,926,7.52
28,20000,384,162.88
29,20000,999999,0
30,60000,448,146.02
31,60000,823,18.24
32,20000,850,65.94
33,40000,999999,0
34,60000,1022,132.41
35,40000,999999,0
36,20000,497,174.97
37,60000,999999,0
38,40000,747,104.16
39,100000,377,425.15
40,120000,466,21.86
41,120000,448,135.77
42,80000,798,181.92
43,60000,427,150.78
44,40000,470,225.35
45,60000,412,226.63
46,80000,999999,0
47,60000,919,26.43
48,60000,813,319.01
49,40000,446,83.62
50,120000,561,106.48
51,100000,999999,0
52,80000,743,235.17
53,80000,802,10.9
54,40000,999999,0
55,20000,372,172.75
56,20000,616,33.26
57,20000,753,177.55
58,40000,999999,0
59,40000,758,277.51
60,40000,850,157.6
61,80000,999999,0
62,40000,552,55.38
63,80000,999999,0
64,20000,424,117.31
65,100000,999999,0
66,120000,919,48.57
67,40000,842,23.94
68,40000,999999,0
69,20000,999999,0
70,40000,773,62.77
71,20000,743,226.69
72,20000,999999,0
73,40000,999999,0
74,60000,412,160.37
75,40000,749,99.11
76,80000,391,525.35
77,60000,402,168.43
78,20000,999999,0
79,80000,392,202.8
80,80000,400,150.89
81,20000,430,133.31
82,20000,999999,0
83,120000,767,61.98
84,60000,784,84.55
85,40000,999999,0
86,40000,999999,0
87,80000,905,172.24
88,40000,478,103.76
89,80000,583,124.32
90,80000,1033,20.28
91,60000,412,113.74
92,40000,999999,0
93,140000,386,302.98
94,20000,999999,0
95,140000,999999,0
96,60000,611,103.29
97,60000,738,121.31
98,140000,931,52.74
99,40000,379,766.43
100,100000,999999,0
101,20000,878,114.68
102,40000,752,61.01
103,60000,999999,0
104,40000,771,515.7
105,#VALUE!,428,112.28
106,60000,367,167.7
107,40000,999999,0
108,100000,752,5.38
109,60000,849,37.52
110,20000,561,75.77
111,80000,800,20.11
112,40000,522,142.68
113,120000,952,20.34
114,#VALUE!,890,48.85
115,100000,522,226.99
116,100000,932,72.36
117,100000,377,286.52
118,60000,437,276.27
119,20000,888,105.34
120,40000,488,93.56
121,40000,439,107.47
122,40000,999999,0
123,40000,999999,0
124,80000,742,14.68
125,80000,472,95.91
126,120000,683,95.69
127,20000,468,75.35
128,40000,523,197.32
129,60000,999999,0
130,120000,725,17.05
131,20000,434,92.79
132,40000,999999,0
133,40000,579,94.1
134,60000,999999,0
135,120000,740,543.93
136,#VALUE!,508,234.7
137,140000,617,174.42
138,100000,999999,0
139,40000,695,121.35
140,20000,818,154.42
141,20000,755,169.8
142,60000,393,82.12
143,40000,478,122.91
144,20000,740,168.34
145,20000,999999,0
146,140000,768,9.89
147,120000,1038,27.64
148,80000,384,194.83
149,60000,559,93.67
150,40000,755,46.63
151,40000,412,41.97
152,#VALUE!,412,206.29
153,20000,999999,0
154,60000,400,317.38
155,120000,850,99.33
156,140000,841,50.68
157,60000,404,115.98
158,140000,392,599.77
159,40000,495,232.07
160,100000,436,178.59
161,40000,400,150.55
162,40000,838,172.8
163,20000,661,137.66
164,40000,990,83.14
165,140000,536,172.76
166,40000,999999,0
167,80000,461,52.17
168,20000,446,11.16
169,60000,373,430.4
170,20000,504,104
171,20000,924,88.05
172,60000,372,47.06
173,60000,999999,0
174,100000,999999,0
175,80000,1003,31.34
176,120000,431,23.83
177,20000,400,333.61
178,40000,400,273.1
179,140000,548,122.15
180,60000,505,101.53
181,40000,387,487.17
182,120000,483,184.48
183,140000,999999,0
184,80000,787,9.4
185,20000,969,54.73
186,120000,616,57.01
187,20000,373,316.68
188,40000,416,285.04
189,20000,919,46.41
190,120000,377,478.38
